order_id,line_number,transaction_ts,store_id,customer_id,product_id,quantity,unit_price,discount_amount,payment_method,order_status,source_system
ORD-714999,1,2026-07-24 14:02:54,12,486,111,5,99.58,0.0,Cash,Completed,POS-v2
ORD-715018,1,2026-07-24 11:35:43,2,84,243,3,57.56,34.54,Debit Card,Returned,POS-v2
ORD-714881,1,2026-07-23 12:18:02,9,68,127,2,56.77,0.0,Credit Card,Cancelled,POS-v2
ORD-715317,2,2026-07-25 13:18:31,6,1117,128,3,72.85,10.93,Mobile Pay,Returned,POS-v2
ORD-714990,2,2026-07-24 20:26:12,3,365,53,2,488.62,0.0,Debit Card,Completed,POS-v2
ORD-715221,2,2026-07-25 15:04:15,20,1005,229,1,23.72,0.0,Cash,Returned,POS-v2
ORD-715452,1,2026-07-26 15:55:41,12,150,51,1,7.15,0.72,Credit Card,Completed,POS-v2
ORD-714870,1,2026-07-23 10:50:19,19,1043,11,1,338.28,0.0,Mobile Pay,Completed,POS-v2
ORD-715445,2,2026-07-26 17:13:13,8,27,109,1,91.47,0.0,Cash,Completed,POS-v2
ORD-715759,3,2026-07-27 18:57:42,18,288,22,2,150.38,0.0,Mobile Pay,Completed,POS-v2
ORD-715408,1,2026-07-25 17:04:56,10,629,204,3,274.55,0.0,Cash,Completed,POS-v2
ORD-715942,2,2026-07-28 19:07:34,16,,105,2,46.98,0.0,Credit Card,Completed,POS-v2
ORD-715684,1,2026-07-27 09:55:09,12,527,3,1,346.86,52.03,Cash,Completed,POS-v2
ORD-715360,2,2026-07-25 14:15:32,17,1081,3,3,346.86,0.0,Cash,Completed,POS-v2
ORD-715883,2,2026-07-28 15:08:16,10,962,193,1,50.27,0.0,Gift Card,Completed,POS-v2
ORD-715939,2,2026-07-28 14:58:29,20,1154,128,1,72.85,10.93,Cash,Completed,POS-v2
ORD-715816,3,2026-07-27 20:08:14,14,627,67,5,16.30,0.0,Cash,Completed,POS-v2
ORD-716032,1,2026-07-28 18:01:32,19,475,42,2,77.88,0.0,Gift Card,Completed,POS-v2
ORD-715617,3,2026-07-26 14:13:57,14,627,71,2,$11.90,0.0,Cash,Cancelled,POS-v2
ORD-715154,1,2026-07-24 15:17:04,11,1059,224,2,180.57,0.0,Mobile Pay,Completed,POS-v2
ORD-715845,1,2026-07-27 10:58:04,14,30,193,1,50.27,0.0,Debit Card,Completed,POS-v2
ORD-715971,1,2026-07-28 13:59:00,2,129,153,1,1127.10,0.0,Credit Card,Completed,POS-v2
ORD-715288,1,2026-07-25 15:07:38,17,737,45,1,11.11,0.0,Credit Card,Completed,POS-v2
ORD-714836,1,2026-07-23 17:49:24,3,221,78,2,673.47,0.0,Gift Card,Completed,POS-v2
ORD-715704,4,2026-07-27 17:22:50,21,335,57,2,67.39,0.0,Gift Card,Completed,WEB
ORD-715002,2,2026-07-24 19:48:01,15,1174,227,1,134.16,0.0,Mobile Pay,Completed,POS-v2
ORD-715932,1,2026-07-28 20:16:58,9,57,140,1,94.75,0.0,Debit Card,Completed,POS-v2
ORD-714622,3,2026-07-22 11:24:27,10,212,131,1,128.39,0.0,Debit Card,Completed,POS-v2
ORD-715103,1,2026-07-24 11:14:11,4,1085,171,1,63.56,3.18,Cash,Completed,POS-v2
ORD-715407,3,2026-07-25 21:27:10,10,83,28,2,204.69,0.0,Gift Card,Cancelled,POS-v2
ORD-715913,1,2026-07-28 17:34:30,14,496,160,2,1082.37,0.0,Mobile Pay,Completed,POS-v2
ORD-715116,3,2026-07-24 19:32:44,12,486,40,1,364.97,0.0,Mobile Pay,Returned,POS-v2
ORD-714613,3,2026-07-22 13:36:18,21,463,60,1,206.81,0.0,Credit Card,Completed,WEB
ORD-715022,1,2026-07-24 16:57:34,3,262,193,1,50.27,0.0,Mobile Pay,Completed,POS-v2
ORD-714890,1,2026-07-23 13:27:06,6,878,39,5,47.04,0.0,Credit Card,Completed,POS-v2
ORD-714779,4,2026-07-22 12:39:32,17,326,13,1,55.30,0.0,Credit Card,Completed,POS-v2
ORD-715568,1,2026-07-26 17:10:57,4,52,211,1,34.56,0.0,Credit Card,Completed,POS-v2
ORD-715870,1,2026-07-28 18:00:11,11,701,145,3,20.64,0.0,Cash,Completed,POS-v2
ORD-714940,1,2026-07-23 21:47:33,16,393,130,2,24.61,0.0,Cash,Completed,POS-v2
ORD-715945,1,2026-07-28 15:25:15,13,,144,3,45.16,27.1,Credit Card,Completed,POS-v2
ORD-716030,1,2026-07-28 17:06:44,4,1052,164,1,29.32,0.0,Debit Card,Completed,POS-v2
ORD-715501,1,2026-07-26 15:42:24,9,594,190,1,212.33,0.0,Gift Card,Completed,POS-v2
ORD-715551,1,2026-07-26 21:09:44,3,848,146,1,135.01,6.75,Mobile Pay,Completed,POS-v2
ORD-714856,1,2026-07-23 13:21:20,1,600,168,1,7.91,0.79,Gift Card,Completed,POS-v2
ORD-715014,1,2026-07-24 10:13:36,4,635,128,2,72.85,21.85,Credit Card,Completed,POS-v2
ORD-714999,2,2026-07-24 14:02:54,12,486,201,2,15.47,0.0,Cash,Cancelled,POS-v2
ORD-714740,2,2026-07-22 15:22:26,5,291,131,1,128.39,0.0,Mobile Pay,Completed,POS-v2
ORD-715763,2,2026-07-27 18:51:38,19,1030,26,2,24.96,0.0,Debit Card,Completed,POS-v2
ORD-714842,1,2026-07-23 10:50:56,1,3,124,1,60.39,6.04,Debit Card,COMPLETED,POS-v2
ORD-715817,2,2026-07-27 20:32:12,13,931,174,1,47.32,7.1,Gift Card,Returned,POS-v2
ORD-715996,1,2026-07-28 17:12:01,6,,237,1,55.84,0.0,Mobile Pay,Returned,POS-v2
ORD-715167,1,2026-07-25 16:56:23,20,605,76,1,474.35,0.0,Cash,Completed,POS-v2
ORD-716049,2,2026-07-28 14:22:21,14,578,45,1,11.11,0.0,Gift Card,Completed,POS-v2
ORD-714711,2,2026-07-22 16:04:31,8,,233,1,50.90,0.0,Cash,Completed,POS-v2
ORD-715116,2,2026-07-24 19:32:44,12,486,229,1,23.72,0.0,Cash,Completed,POS-v2
ORD-715440,1,2026-07-26 15:28:09,19,1166,141,1,1122.69,112.27,Gift Card,Completed,POS-v2
ORD-715446,2,2026-07-26 17:52:21,13,172,105,1,46.98,0.0,Gift Card,Completed,POS-v2
ORD-714916,1,2026-07-23 19:23:23,17,559,156,2,385.29,0.0,Debit Card,Completed,POS-v2
ORD-714800,1,2026-07-23 14:03:55,3,542,183,1,145.87,0.0,Credit Card,Completed,POS-v2
ORD-715201,1,2026-07-25 15:55:53,11,982,4,1,6.69,0.0,Credit Card,Completed,POS-v2
ORD-502231,1,2023-07-28 21:43:35,13,,175,1,14.65,2.93,Debit Card,Returned,POS-v2
ORD-715521,1,2026-07-26 18:35:07,11,851,156,1,385.29,0.0,Credit Card,Completed,POS-v2
ORD-715254,2,2026-07-25 14:56:54,1,118,57,1,67.39,3.37,Credit Card,Completed,POS-v2
ORD-715762,2,2026-07-27 14:27:18,5,,224,1,180.57,0.0,Credit Card,Completed,POS-v2
ORD-715980,3,2026-07-28 17:41:26,19,1101,133,1,602.18,0.0,Credit Card,Returned,POS-v2
ORD-715407,2,2026-07-25 21:27:10,10,83,244,1,20.58,4.12,Debit Card,Returned,POS-v2
ORD-714845,3,2026-07-23 17:22:29,9,84,222,1,528.97,0.0,Cash,Completed,POS-v2
ORD-715659,1,2026-07-26 20:03:09,10,660,242,1,16.09,3.22,Debit Card,Completed,POS-v2
ORD-715811,1,2026-07-27 21:36:18,12,460,181,3,170.57,0.0,Gift Card,Completed,POS-v2
ORD-715089,2,2026-07-24 13:35:19,21,,2,3,328.81,0.0,Mobile Pay,Completed,WEB
ORD-715671,1,2026-07-27 14:42:11,10,853,59,1,2.47,0.0,Credit Card,Completed,POS-v2
ORD-715396,1,2026-07-25 20:34:41,7,3,229,1,23.72,0.0,Mobile Pay,Completed,POS-v2
ORD-715166,1,2026-07-25 20:24:38,2,314,166,1,4.90,0.25,Credit Card,Completed,POS-v2
ORD-714622,2,2026-07-22 11:24:27,10,212,212,2,40.54,16.22,Mobile Pay,Returned,POS-v2
ORD-715322,1,2026-07-25 14:38:38,14,425,203,1,53.83,0.0,Gift Card,Completed,POS-v2
ORD-715229,2,2026-07-25 17:40:37,17,317,154,1,41.08,0.0,Credit Card,Completed,POS-v2
ORD-714877,4,2026-07-23 19:19:22,10,786,9,1,10.43,0.0,Mobile Pay,Cancelled,POS-v2
ORD-714771,1,2026-07-22 13:57:41,1,195,53,1,488.62,0.0,Credit Card,Completed,POS-v2
ORD-715757,3,2026-07-27 14:38:28,10,757,57,1,67.39,10.11,Cash,Completed,POS-v2
ORD-715223,1,2026-07-25 18:33:33,6,611,190,1,212.33,0.0,Mobile Pay,Completed,POS-v2
ORD-716036,1,2026-07-28 11:37:32,9,,194,1,131.67,0.0,Mobile Pay,Completed,POS-v2
ORD-715873,3,2026-07-28 15:30:07,21,1001,85,1,824.56,0.0,Cash,Returned,WEB
ORD-714676,1,2026-07-22 16:25:52,19,372,128,1,72.85,0.0,Debit Card,Completed,POS-v2
ORD-715279,1,2026-07-25 17:31:28,13,287,145,1,20.64,0.0,Credit Card,Completed,POS-v2
ORD-715106,1,2026-07-24 11:37:27,4,24,129,1,24.64,0.0,Mobile Pay,Completed,POS-v2
ORD-714882,1,2026-07-23 20:28:17,20,,244,1,20.58,0.0,Debit Card,Completed,POS-v2
ORD-715356,2,2026-07-25 18:28:50,15,20,121,1,6.80,0.68,Gift Card,Completed,POS-v2
ORD-715308,2,2026-07-25 15:37:21,16,586,132,1,29.88,0.0,Credit Card,Returned,POS-v2
ORD-714817,2,2026-07-23 18:06:41,13,518,5,1,34.07,0.0,Gift Card,COMPLETED,POS-v2
ORD-502231,1,2023-07-28 21:43:35,13,,175,1,14.65,2.93,Debit Card,Returned,POS-v2
ORD-714771,3,2026-07-22 13:57:41,1,195,165,1,59.42,0.0,Credit Card,Completed,POS-v2
ORD-715015,1,2026-07-24 13:47:34,7,650,140,1,94.75,0.0,Mobile Pay,Completed,POS-v2
ORD-715459,1,2026-07-26 13:07:03,13,,240,1,14.88,0.0,Mobile Pay,COMPLETED,POS-v2
ORD-715435,2,2026-07-26 18:39:40,12,644,148,2,71.49,0.0,Mobile Pay,Completed,POS-v2
ORD-714876,1,2026-07-23 21:35:11,3,373,235,3,129.37,0.0,Gift Card,Completed,POS-v2
ORD-715624,1,2026-07-26 15:35:55,15,1117,14,1,81.28,0.0,Cash,Completed,POS-v2
ORD-715446,1,07/26/2026 17:52,13,172,140,1,94.75,0.0,Cash,Returned,POS-v2
ORD-715731,2,2026-07-27 18:10:47,19,,112,1,79.39,11.91,Debit Card,Completed,POS-v2
ORD-714715,3,2026-07-22 19:04:45,15,631,125,1,16.05,0.0,Debit Card,Completed,POS-v2
ORD-715064,2,2026-07-24 17:09:49,18,709,22,1,150.38,0.0,Debit Card,Completed,POS-v2
ORD-715736,1,2026-07-27 18:47:31,19,887,244,3,20.58,0.0,Cash,Completed,POS-v2
ORD-714865,2,2026-07-23 18:34:31,16,1159,148,1,71.49,0.0,Mobile Pay,Completed,POS-v2
ORD-714702,1,2026-07-22 21:16:25,2,594,109,2,91.47,0.0,Cash,Completed,POS-v2
ORD-714923,1,2026-07-23 12:48:22,2,686,55,1,631.41,63.14,Debit Card,Completed,POS-v2
ORD-715706,1,2026-07-27 19:35:14,18,834,138,1,101.54,0.0,Gift Card,Completed,POS-v2
ORD-714907,3,2026-07-23 17:20:37,18,,69,1,392.90,0.0,Mobile Pay,Completed,POS-v2
ORD-714615,3,2026-07-22 19:59:08,6,1026,35,2,11.26,0.0,Mobile Pay,Completed,POS-v2
ORD-715778,1,2026-07-27 12:40:31,8,329,227,1,134.16,0.0,Cash,Completed,POS-v2
ORD-715113,4,2026-07-24 11:14:40,19,,167,1,436.64,65.5,Gift Card,COMPLETED,POS-v2
ORD-714949,2,2026-07-23 11:44:28,20,,127,1,56.77,0.0,Debit Card,Returned,POS-v2
ORD-714873,1,2026-07-23 11:51:39,15,,138,1,101.54,0.0,Mobile Pay,Completed,POS-v2
ORD-715268,2,2026-07-25 19:34:10,5,672,130,1,24.61,0.0,Credit Card,Completed,POS-v2
ORD-715949,1,2026-07-28 18:16:48,8,,150,2,105.01,0.0,Gift Card,Completed,POS-v2
ORD-715022,2,2026-07-24 16:57:34,3,262,130,1,24.61,0.0,Cash,Completed,POS-v2
ORD-715091,1,2026-07-24 20:48:28,1,,83,1,21.39,0.0,Mobile Pay,COMPLETED,POS-v2
ORD-716004,1,2026-07-28 15:03:48,13,1187,42,1,77.88,0.0,Credit Card,Completed,POS-v2
ORD-678866,2,2026-01-21 16:34:39,3,622,42,2,77.88,0.0,Mobile Pay,Returned,POS-v2
ORD-715920,2,2026-07-28 15:51:08,4,1073,77,1,361.16,0.0,Credit Card,Completed,POS-v2
ORD-715151,2,2026-07-24 10:30:14,16,1074,49,1,13.16,0.0,Credit Card,Completed,POS-v2
ORD-715347,1,2026-07-25 11:16:42,2,539,66,1,9.23,0.0,Cash,Cancelled,POS-v2
ORD-715134,1,2026-07-24 18:08:30,12,195,223,1,1351.62,0.0,Credit Card,Completed,POS-v2
ORD-714893,2,2026-07-23 10:08:35,6,213,64,1,127.10,0.0,Gift Card,Completed,POS-v2
ORD-704082,2,2026-05-31 12:37:26,7,1090,243,2,57.56,0.0,Mobile Pay,Returned,POS-v2
ORD-714897,2,2026-07-23 13:59:14,20,393,63,2,113.03,0.0,Credit Card,Returned,POS-v2
ORD-714907,1,2026-07-23 17:20:37,18,,173,1,2.96,0.0,Credit Card,Completed,POS-v2
ORD-715707,1,2026-07-27 18:59:24,8,120,147,3,60.30,0.0,Mobile Pay,COMPLETED,POS-v2
ORD-715721,3,2026-07-27 11:13:40,1,124,120,1,91.88,13.78,Cash,Completed,POS-v2
ORD-715275,2,2026-07-25 18:47:23,16,109,36,1,78.85,0.0,Mobile Pay,Completed,POS-v2
ORD-715275,1,2026-07-25 18:47:23,16,109,51,1,7.15,0.0,Credit Card,Completed,POS-v2
ORD-714729,2,2026-07-22 15:15:45,19,690,179,1,799.36,159.87,Cash,Completed,POS-v2
ORD-715046,1,2026-07-24 13:05:00,11,,205,1,36.36,0.0,Credit Card,Cancelled,POS-v2
ORD-715297,1,2026-07-25 15:55:45,9,1126,78,2,673.47,67.35,Mobile Pay,COMPLETED,POS-v2
ORD-714737,1,2026-07-22 11:26:02,19,470,229,3,23.72,0.0,Gift Card,Completed,POS-v2
ORD-715436,1,2026-07-26 20:42:15,19,268,40,1,364.97,0.0,Debit Card,Completed,POS-v2
ORD-715922,2,2026-07-28 10:55:39,4,,81,1,784.69,156.94,Cash,Completed,POS-v2
ORD-715589,1,2026-07-26 11:47:52,1,1173,75,2,101.78,0.0,Debit Card,Completed,POS-v2
ORD-715259,1,2026-07-25 09:41:11,8,1093,119,2,438.82,0.0,Debit Card,Cancelled,POS-v2
ORD-715630,3,2026-07-26 10:42:00,8,732,81,2,784.69,0.0,Cash,Completed,POS-v2
ORD-715352,1,2026-07-25 11:52:08,20,438,49,1,13.16,0.0,Credit Card,Completed,POS-v2
ORD-715327,2,2026-07-25 10:07:53,19,1002,121,1,6.80,1.36,Mobile Pay,Completed,POS-v2
ORD-715516,1,2026-07-26 09:18:46,13,1026,115,1,80.31,8.03,Debit Card,Cancelled,POS-v2
ORD-715091,2,2026-07-24 20:48:28,1,,214,1,14.10,0.0,Credit Card,Completed,POS-v2
ORD-715420,2,2026-07-25 10:15:12,11,981,67,1,16.30,1.63,Credit Card,Completed,POS-v2
ORD-714608,1,2026-07-22 20:53:32,3,858,163,1,107.45,16.12,Gift Card,Completed,POS-v2
ORD-715059,2,2026-07-24 15:40:47,6,618,24,2,1052.95,0.0,Gift Card,Completed,POS-v2
ORD-714685,1,2026-07-22 19:25:19,11,,77,2,361.16,0.0,Mobile Pay,Completed,POS-v2
ORD-714680,1,2026-07-22 17:30:59,3,411,141,1,1122.69,112.27,Credit Card,Completed,POS-v2
ORD-716018,2,2026-07-28 14:10:47,14,920,10,2,29.56,0.0,Gift Card,Completed,POS-v2
ORD-716050,1,2026-07-28 09:01:09,10,1127,243,1,57.56,0.0,Gift Card,Completed,POS-v2
ORD-714926,2,2026-07-23 16:45:20,15,1025,208,1,74.89,0.0,Cash,Returned,POS-v2
ORD-715376,2,2026-07-25 17:53:46,3,113,23,1,5.78,0.0,Gift Card,Returned,POS-v2
ORD-715637,1,2026-07-26 20:08:15,3,117,154,1,41.08,0.0,Debit Card,Completed,POS-v2
ORD-715976,2,2026-07-28 21:38:05,18,1071,124,2,60.39,0.0,Debit Card,Completed,POS-v2
ORD-714698,1,2026-07-22 14:15:40,4,397,121,1,6.80,0.0,Gift Card,Returned,POS-v2
ORD-715125,1,2026-07-24 18:34:37,8,782,103,3,$37.96,0.0,Cash,Completed,POS-v2
ORD-715783,2,2026-07-27 15:47:30,12,936,143,1,1.79,0.36,Debit Card,Completed,POS-v2
ORD-570056,1,2024-08-06 14:53:47,10,157,89,1,293.17,14.66,Credit Card,Returned,POS-v2
ORD-715586,1,2026-07-26 16:47:12,19,1026,171,1,63.56,3.18,Gift Card,Completed,POS-v2
ORD-716028,1,2026-07-28 20:06:44,13,163,28,1,204.69,0.0,Cash,Completed,POS-v2
ORD-691027,1,2026-03-28 15:43:08,18,194,69,1,392.90,0.0,Credit Card,Returned,POS-v2
ORD-715819,1,2026-07-27 20:17:10,3,1131,77,1,361.16,0.0,Credit Card,Completed,POS-v2
ORD-714788,2,2026-07-23 15:58:18,21,413,152,1,44.47,0.0,Gift Card,Completed,WEB
ORD-715514,2,2026-07-26 14:25:10,18,596,120,1,91.88,0.0,Cash,Completed,POS-v2
ORD-715409,2,2026-07-25 12:20:54,10,676,76,2,474.35,94.87,Credit Card,Completed,POS-v2
ORD-714749,3,2026-07-22 13:02:59,9,896,218,1,28.28,5.66,Cash,Completed,POS-v2
ORD-715790,3,2026-07-27 15:24:39,13,303,182,2,195.25,0.0,Cash,Completed,POS-v2
ORD-715352,2,2026-07-25 11:52:08,20,438,95,2,9.57,0.0,Cash,Completed,POS-v2
ORD-714917,2,2026-07-23 16:00:42,5,,45,2,11.11,0.0,Cash,Completed,POS-v2
ORD-715787,1,2026-07-27 16:00:36,10,816,110,2,25.73,5.15,Mobile Pay,Completed,POS-v2
ORD-715115,1,2026-07-24 16:33:22,8,,128,2,72.85,0.0,Gift Card,Completed,POS-v2
ORD-714709,1,2026-07-22 21:31:38,12,55,179,1,799.36,0.0,Gift Card,Completed,POS-v2
ORD-715438,1,2026-07-26 15:09:42,9,,171,2,63.56,0.0,Gift Card,Returned,POS-v2
ORD-714919,3,2026-07-23 08:18:38,6,101,139,1,13.55,0.0,Cash,Completed,POS-v2
ORD-715579,2,2026-07-26 20:48:39,4,877,223,2,1351.62,0.0,Credit Card,Completed,POS-v2
ORD-714899,1,2026-07-23 15:33:06,6,,33,1,92.00,0.0,Gift Card,Completed,POS-v2
ORD-715612,3,2026-07-26 16:02:20,8,,78,1,673.47,33.67,Gift Card,Completed,POS-v2
ORD-715779,1,2026-07-27 13:38:12,4,1123,163,5,107.45,0.0,Gift Card,Completed,POS-v2
ORD-715308,1,2026-07-25 15:37:21,16,586,237,2,55.84,5.58,Cash,Completed,POS-v2
ORD-714618,1,2026-07-22 13:26:39,2,643,237,1,55.84,2.79,Credit Card,Completed,POS-v2
ORD-714909,1,2026-07-23 21:00:53,8,518,39,3,47.04,0.0,Gift Card,Completed,POS-v2
ORD-715316,2,2026-07-25 18:27:00,3,,151,1,1170.91,0.0,Gift Card,Completed,POS-v2
ORD-714769,1,2026-07-22 16:09:26,6,815,104,2,67.69,6.77,Mobile Pay,Completed,POS-v2
ORD-715020,1,2026-07-24 14:59:42,5,958,108,5,152.24,0.0,Debit Card,Completed,POS-v2
ORD-715476,1,2026-07-26 19:49:01,21,704,137,1,46.27,0.0,Gift Card,Completed,WEB
ORD-715851,1,2026-07-28 13:59:41,10,674,155,3,19.51,11.71,Debit Card,Completed,POS-v2
ORD-715563,1,2026-07-26 16:18:48,17,863,171,1,63.56,0.0,Gift Card,Completed,POS-v2
ORD-716004,2,2026-07-28 15:03:48,13,1187,36,1,78.85,0.0,Cash,Completed,POS-v2
ORD-715864,2,2026-07-28 19:36:55,20,992,168,1,7.91,1.19,Debit Card,Completed,POS-v2
ORD-714803,1,2026-07-23 17:33:15,2,737,51,1,7.15,0.0,Credit Card,Completed,POS-v2
ORD-715945,3,2026-07-28 15:25:15,13,,134,1,392.62,78.52,Debit Card,Completed,POS-v2
ORD-715349,3,2026-07-25 10:59:48,12,1141,122,1,1194.92,238.98,Mobile Pay,Completed,POS-v2
ORD-529217,2,2023-12-16 13:35:31,5,587,168,1,7.91,0.0,Mobile Pay,Returned,POS-v2
ORD-715137,1,2026-07-24 13:55:15,6,428,149,1,134.15,0.0,Credit Card,Completed,POS-v2
ORD-715747,1,2026-07-27 16:55:15,1,459,129,1,24.64,0.0,Debit Card,Completed,POS-v2
ORD-625059,1,2025-05-14 21:26:26,7,751,75,1,101.78,0.0,Cash,Returned,POS-v2
ORD-715836,1,2026-07-27 15:58:24,16,27,18,1,97.64,0.0,Gift Card,Cancelled,POS-v2
ORD-714626,1,2026-07-22 11:42:11,14,552,143,1,1.79,0.0,Credit Card,Cancelled,POS-v2
ORD-714764,1,2026-07-22 17:07:04,9,1200,221,3,17.16,0.0,Cash,Completed,POS-v2
ORD-715614,1,2026-07-26 09:25:36,9,451,212,1,40.54,0.0,Debit Card,Completed,POS-v2
ORD-715230,1,2026-07-25 12:49:34,21,169,34,1,8.35,0.0,Gift Card,Completed,WEB
ORD-715113,3,2026-07-24 11:14:40,19,,61,1,47.01,0.0,Credit Card,Returned,POS-v2
ORD-715668,2,2026-07-26 13:01:25,20,1077,227,3,134.16,0.0,Debit Card,Completed,POS-v2
ORD-716031,1,2026-07-28 10:53:55,19,,95,2,9.57,0.96,Mobile Pay,Completed,POS-v2
ORD-715501,2,2026-07-26 15:42:24,9,594,141,5,1122.69,0.0,Debit Card,Completed,POS-v2
ORD-513157,2,2023-10-01 16:24:38,21,363,148,1,71.49,0.0,Mobile Pay,Returned,WEB
ORD-715266,2,2026-07-25 19:26:53,19,826,147,1,60.30,0.0,Gift Card,Cancelled,POS-v2
ORD-715083,4,2026-07-24 14:49:17,16,240,172,2,136.55,0.0,Mobile Pay,Completed,POS-v2
ORD-715656,2,2026-07-26 14:54:35,11,189,76,1,474.35,94.87,Debit Card,Completed,POS-v2
ORD-715660,1,2026-07-26 12:11:37,2,315,193,3,50.27,0.0,Gift Card,Completed,POS-v2
ORD-714876,2,2026-07-23 21:35:11,3,373,49,2,13.16,0.0,Gift Card,Completed,POS-v2
ORD-715435,1,2026-07-26 18:39:40,12,644,74,1,50.24,0.0,Cash,Returned,POS-v2
ORD-714710,1,2026-07-22 10:11:15,3,376,12,1,20.16,0.0,Gift Card,Completed,POS-v2
ORD-715363,2,2026-07-25 20:40:26,1,584,206,1,40.72,0.0,Mobile Pay,Completed,POS-v2
ORD-714729,1,2026-07-22 15:15:45,19,690,6,1,144.10,0.0,Debit Card,Completed,POS-v2
ORD-715460,1,2026-07-26 15:21:25,2,41,190,1,212.33,10.62,Cash,Completed,POS-v2
ORD-715131,2,2026-07-24 16:42:25,4,484,199,1,11.44,0.0,Debit Card,Returned,POS-v2
ORD-715321,1,2026-07-25 13:01:01,16,1175,186,1,437.54,0.0,Gift Card,Completed,POS-v2
ORD-679286,1,2026-01-24 10:51:21,2,124,21,1,551.96,0.0,Debit Card,Returned,POS-v2
ORD-715976,4,2026-07-28 21:38:05,18,1071,160,1,1082.37,0.0,Mobile Pay,Completed,POS-v2
ORD-715278,2,2026-07-25 17:19:53,3,467,41,1,15.59,1.56,Gift Card,Completed,POS-v2
ORD-715249,1,2026-07-25 13:39:39,6,1056,79,1,203.27,0.0,Gift Card,Completed,POS-v2
ORD-714981,2,2026-07-24 18:02:20,9,816,222,1,528.97,52.9,Mobile Pay,Completed,POS-v2
ORD-715729,3,2026-07-27 15:17:41,8,916,67,1,16.30,1.63,Cash,Cancelled,POS-v2
ORD-715061,2,2026-07-24 13:41:56,9,165,180,1,84.76,0.0,Mobile Pay,Returned,POS-v2
ORD-714973,1,2026-07-24 09:36:57,2,773,187,1,111.55,0.0,Credit Card,Completed,POS-v2
ORD-714731,1,2026-07-22 13:01:25,16,989,199,1,11.44,0.0,Gift Card,Completed,POS-v2
ORD-715787,2,2026-07-27 16:00:36,10,816,232,2,40.48,0.0,Credit Card,Cancelled,POS-v2
ORD-715136,2,2026-07-24 16:22:49,21,179,194,1,131.67,0.0,Gift Card,Completed,WEB
ORD-715463,1,2026-07-26 13:43:51,6,891,122,1,1194.92,238.98,Cash,Completed,POS-v2
ORD-715355,2,2026-07-25 16:15:01,15,524,154,1,41.08,0.0,Cash,Completed,POS-v2
ORD-715412,3,2026-07-25 15:37:03,8,492,247,1,88.74,0.0,Gift Card,Completed,POS-v2
ORD-714948,1,2026-07-23 19:22:03,19,1090,101,1,1276.11,63.81,Cash,Completed,POS-v2
ORD-715160,2,2026-07-24 10:26:20,16,341,166,1,4.90,0.25,Gift Card,Completed,POS-v2
ORD-715481,2,2026-07-26 15:59:28,7,634,124,1,60.39,0.0,Gift Card,Completed,POS-v2
ORD-716009,1,2026-07-28 19:14:19,15,1109,27,5,125.91,0.0,Mobile Pay,Completed,POS-v2
