date_key,date,year,quarter,quarter_label,month_number,month_name,month_short,iso_week,day_of_month,day_of_week,day_name,is_weekend,holiday_name,is_holiday,fiscal_year
20230317,2023-03-17,2023,1,Q1-2023,3,March,Mar,11,17,5,Friday,0,,0,FY2023
20230318,2023-03-18,2023,1,Q1-2023,3,March,Mar,11,18,6,Saturday,1,,0,FY2023
20230319,2023-03-19,2023,1,Q1-2023,3,March,Mar,11,19,7,Sunday,1,,0,FY2023
20230320,2023-03-20,2023,1,Q1-2023,3,March,Mar,12,20,1,Monday,0,,0,FY2023
20230321,2023-03-21,2023,1,Q1-2023,3,March,Mar,12,21,2,Tuesday,0,,0,FY2023
20230322,2023-03-22,2023,1,Q1-2023,3,March,Mar,12,22,3,Wednesday,0,,0,FY2023
20230323,2023-03-23,2023,1,Q1-2023,3,March,Mar,12,23,4,Thursday,0,,0,FY2023
20230324,2023-03-24,2023,1,Q1-2023,3,March,Mar,12,24,5,Friday,0,,0,FY2023
20230325,2023-03-25,2023,1,Q1-2023,3,March,Mar,12,25,6,Saturday,1,,0,FY2023
20230326,2023-03-26,2023,1,Q1-2023,3,March,Mar,12,26,7,Sunday,1,,0,FY2023
20230327,2023-03-27,2023,1,Q1-2023,3,March,Mar,13,27,1,Monday,0,,0,FY2023
20230328,2023-03-28,2023,1,Q1-2023,3,March,Mar,13,28,2,Tuesday,0,,0,FY2023
20230329,2023-03-29,2023,1,Q1-2023,3,March,Mar,13,29,3,Wednesday,0,,0,FY2023
20230330,2023-03-30,2023,1,Q1-2023,3,March,Mar,13,30,4,Thursday,0,,0,FY2023
20230331,2023-03-31,2023,1,Q1-2023,3,March,Mar,13,31,5,Friday,0,,0,FY2023
20230401,2023-04-01,2023,2,Q2-2023,4,April,Apr,13,1,6,Saturday,1,,0,FY2023
20230402,2023-04-02,2023,2,Q2-2023,4,April,Apr,13,2,7,Sunday,1,,0,FY2023
20230403,2023-04-03,2023,2,Q2-2023,4,April,Apr,14,3,1,Monday,0,,0,FY2023
20230404,2023-04-04,2023,2,Q2-2023,4,April,Apr,14,4,2,Tuesday,0,,0,FY2023
20230405,2023-04-05,2023,2,Q2-2023,4,April,Apr,14,5,3,Wednesday,0,,0,FY2023
20230406,2023-04-06,2023,2,Q2-2023,4,April,Apr,14,6,4,Thursday,0,,0,FY2023
20230407,2023-04-07,2023,2,Q2-2023,4,April,Apr,14,7,5,Friday,0,,0,FY2023
20230408,2023-04-08,2023,2,Q2-2023,4,April,Apr,14,8,6,Saturday,1,,0,FY2023
20230409,2023-04-09,2023,2,Q2-2023,4,April,Apr,14,9,7,Sunday,1,,0,FY2023
20230410,2023-04-10,2023,2,Q2-2023,4,April,Apr,15,10,1,Monday,0,,0,FY2023
20230411,2023-04-11,2023,2,Q2-2023,4,April,Apr,15,11,2,Tuesday,0,,0,FY2023
20230412,2023-04-12,2023,2,Q2-2023,4,April,Apr,15,12,3,Wednesday,0,,0,FY2023
20230413,2023-04-13,2023,2,Q2-2023,4,April,Apr,15,13,4,Thursday,0,,0,FY2023
20230414,2023-04-14,2023,2,Q2-2023,4,April,Apr,15,14,5,Friday,0,,0,FY2023
20230415,2023-04-15,2023,2,Q2-2023,4,April,Apr,15,15,6,Saturday,1,,0,FY2023
20230416,2023-04-16,2023,2,Q2-2023,4,April,Apr,15,16,7,Sunday,1,,0,FY2023
20230417,2023-04-17,2023,2,Q2-2023,4,April,Apr,16,17,1,Monday,0,,0,FY2023
20230418,2023-04-18,2023,2,Q2-2023,4,April,Apr,16,18,2,Tuesday,0,,0,FY2023
20230419,2023-04-19,2023,2,Q2-2023,4,April,Apr,16,19,3,Wednesday,0,,0,FY2023
20230420,2023-04-20,2023,2,Q2-2023,4,April,Apr,16,20,4,Thursday,0,,0,FY2023
20230421,2023-04-21,2023,2,Q2-2023,4,April,Apr,16,21,5,Friday,0,,0,FY2023
20230422,2023-04-22,2023,2,Q2-2023,4,April,Apr,16,22,6,Saturday,1,,0,FY2023
20230423,2023-04-23,2023,2,Q2-2023,4,April,Apr,16,23,7,Sunday,1,,0,FY2023
20230424,2023-04-24,2023,2,Q2-2023,4,April,Apr,17,24,1,Monday,0,,0,FY2023
20230425,2023-04-25,2023,2,Q2-2023,4,April,Apr,17,25,2,Tuesday,0,,0,FY2023
20230426,2023-04-26,2023,2,Q2-2023,4,April,Apr,17,26,3,Wednesday,0,,0,FY2023
20230427,2023-04-27,2023,2,Q2-2023,4,April,Apr,17,27,4,Thursday,0,,0,FY2023
20230428,2023-04-28,2023,2,Q2-2023,4,April,Apr,17,28,5,Friday,0,,0,FY2023
20230429,2023-04-29,2023,2,Q2-2023,4,April,Apr,17,29,6,Saturday,1,,0,FY2023
20230430,2023-04-30,2023,2,Q2-2023,4,April,Apr,17,30,7,Sunday,1,,0,FY2023
20230501,2023-05-01,2023,2,Q2-2023,5,May,May,18,1,1,Monday,0,,0,FY2023
20230502,2023-05-02,2023,2,Q2-2023,5,May,May,18,2,2,Tuesday,0,,0,FY2023
20230503,2023-05-03,2023,2,Q2-2023,5,May,May,18,3,3,Wednesday,0,,0,FY2023
20230504,2023-05-04,2023,2,Q2-2023,5,May,May,18,4,4,Thursday,0,,0,FY2023
20230505,2023-05-05,2023,2,Q2-2023,5,May,May,18,5,5,Friday,0,,0,FY2023
20230506,2023-05-06,2023,2,Q2-2023,5,May,May,18,6,6,Saturday,1,,0,FY2023
20230507,2023-05-07,2023,2,Q2-2023,5,May,May,18,7,7,Sunday,1,,0,FY2023
20230508,2023-05-08,2023,2,Q2-2023,5,May,May,19,8,1,Monday,0,,0,FY2023
20230509,2023-05-09,2023,2,Q2-2023,5,May,May,19,9,2,Tuesday,0,,0,FY2023
20230510,2023-05-10,2023,2,Q2-2023,5,May,May,19,10,3,Wednesday,0,,0,FY2023
20230511,2023-05-11,2023,2,Q2-2023,5,May,May,19,11,4,Thursday,0,,0,FY2023
20230512,2023-05-12,2023,2,Q2-2023,5,May,May,19,12,5,Friday,0,,0,FY2023
20230513,2023-05-13,2023,2,Q2-2023,5,May,May,19,13,6,Saturday,1,,0,FY2023
20230514,2023-05-14,2023,2,Q2-2023,5,May,May,19,14,7,Sunday,1,,0,FY2023
20230515,2023-05-15,2023,2,Q2-2023,5,May,May,20,15,1,Monday,0,,0,FY2023
20230516,2023-05-16,2023,2,Q2-2023,5,May,May,20,16,2,Tuesday,0,,0,FY2023
20230517,2023-05-17,2023,2,Q2-2023,5,May,May,20,17,3,Wednesday,0,,0,FY2023
20230518,2023-05-18,2023,2,Q2-2023,5,May,May,20,18,4,Thursday,0,,0,FY2023
20230519,2023-05-19,2023,2,Q2-2023,5,May,May,20,19,5,Friday,0,,0,FY2023
20230520,2023-05-20,2023,2,Q2-2023,5,May,May,20,20,6,Saturday,1,,0,FY2023
20230521,2023-05-21,2023,2,Q2-2023,5,May,May,20,21,7,Sunday,1,,0,FY2023
20230522,2023-05-22,2023,2,Q2-2023,5,May,May,21,22,1,Monday,0,,0,FY2023
20230523,2023-05-23,2023,2,Q2-2023,5,May,May,21,23,2,Tuesday,0,,0,FY2023
20230524,2023-05-24,2023,2,Q2-2023,5,May,May,21,24,3,Wednesday,0,,0,FY2023
20230525,2023-05-25,2023,2,Q2-2023,5,May,May,21,25,4,Thursday,0,,0,FY2023
20230526,2023-05-26,2023,2,Q2-2023,5,May,May,21,26,5,Friday,0,,0,FY2023
20230527,2023-05-27,2023,2,Q2-2023,5,May,May,21,27,6,Saturday,1,,0,FY2023
20230528,2023-05-28,2023,2,Q2-2023,5,May,May,21,28,7,Sunday,1,,0,FY2023
20230529,2023-05-29,2023,2,Q2-2023,5,May,May,22,29,1,Monday,0,,0,FY2023
20230530,2023-05-30,2023,2,Q2-2023,5,May,May,22,30,2,Tuesday,0,,0,FY2023
20230531,2023-05-31,2023,2,Q2-2023,5,May,May,22,31,3,Wednesday,0,,0,FY2023
20230601,2023-06-01,2023,2,Q2-2023,6,June,Jun,22,1,4,Thursday,0,,0,FY2023
20230602,2023-06-02,2023,2,Q2-2023,6,June,Jun,22,2,5,Friday,0,,0,FY2023
20230603,2023-06-03,2023,2,Q2-2023,6,June,Jun,22,3,6,Saturday,1,,0,FY2023
20230604,2023-06-04,2023,2,Q2-2023,6,June,Jun,22,4,7,Sunday,1,,0,FY2023
20230605,2023-06-05,2023,2,Q2-2023,6,June,Jun,23,5,1,Monday,0,,0,FY2023
20230606,2023-06-06,2023,2,Q2-2023,6,June,Jun,23,6,2,Tuesday,0,,0,FY2023
20230607,2023-06-07,2023,2,Q2-2023,6,June,Jun,23,7,3,Wednesday,0,,0,FY2023
20230608,2023-06-08,2023,2,Q2-2023,6,June,Jun,23,8,4,Thursday,0,,0,FY2023
20230609,2023-06-09,2023,2,Q2-2023,6,June,Jun,23,9,5,Friday,0,,0,FY2023
20230610,2023-06-10,2023,2,Q2-2023,6,June,Jun,23,10,6,Saturday,1,,0,FY2023
20230611,2023-06-11,2023,2,Q2-2023,6,June,Jun,23,11,7,Sunday,1,,0,FY2023
20230612,2023-06-12,2023,2,Q2-2023,6,June,Jun,24,12,1,Monday,0,,0,FY2023
20230613,2023-06-13,2023,2,Q2-2023,6,June,Jun,24,13,2,Tuesday,0,,0,FY2023
20230614,2023-06-14,2023,2,Q2-2023,6,June,Jun,24,14,3,Wednesday,0,,0,FY2023
20230615,2023-06-15,2023,2,Q2-2023,6,June,Jun,24,15,4,Thursday,0,,0,FY2023
20230616,2023-06-16,2023,2,Q2-2023,6,June,Jun,24,16,5,Friday,0,,0,FY2023
20230617,2023-06-17,2023,2,Q2-2023,6,June,Jun,24,17,6,Saturday,1,,0,FY2023
20230618,2023-06-18,2023,2,Q2-2023,6,June,Jun,24,18,7,Sunday,1,,0,FY2023
20230619,2023-06-19,2023,2,Q2-2023,6,June,Jun,25,19,1,Monday,0,,0,FY2023
20230620,2023-06-20,2023,2,Q2-2023,6,June,Jun,25,20,2,Tuesday,0,,0,FY2023
20230621,2023-06-21,2023,2,Q2-2023,6,June,Jun,25,21,3,Wednesday,0,,0,FY2023
20230622,2023-06-22,2023,2,Q2-2023,6,June,Jun,25,22,4,Thursday,0,,0,FY2023
20230623,2023-06-23,2023,2,Q2-2023,6,June,Jun,25,23,5,Friday,0,,0,FY2023
20230624,2023-06-24,2023,2,Q2-2023,6,June,Jun,25,24,6,Saturday,1,,0,FY2023
20230625,2023-06-25,2023,2,Q2-2023,6,June,Jun,25,25,7,Sunday,1,,0,FY2023
20230626,2023-06-26,2023,2,Q2-2023,6,June,Jun,26,26,1,Monday,0,,0,FY2023
20230627,2023-06-27,2023,2,Q2-2023,6,June,Jun,26,27,2,Tuesday,0,,0,FY2023
20230628,2023-06-28,2023,2,Q2-2023,6,June,Jun,26,28,3,Wednesday,0,,0,FY2023
20230629,2023-06-29,2023,2,Q2-2023,6,June,Jun,26,29,4,Thursday,0,,0,FY2023
20230630,2023-06-30,2023,2,Q2-2023,6,June,Jun,26,30,5,Friday,0,,0,FY2023
20230701,2023-07-01,2023,3,Q3-2023,7,July,Jul,26,1,6,Saturday,1,,0,FY2024
20230702,2023-07-02,2023,3,Q3-2023,7,July,Jul,26,2,7,Sunday,1,,0,FY2024
20230703,2023-07-03,2023,3,Q3-2023,7,July,Jul,27,3,1,Monday,0,,0,FY2024
20230704,2023-07-04,2023,3,Q3-2023,7,July,Jul,27,4,2,Tuesday,0,Independence Day,1,FY2024
20230705,2023-07-05,2023,3,Q3-2023,7,July,Jul,27,5,3,Wednesday,0,,0,FY2024
20230706,2023-07-06,2023,3,Q3-2023,7,July,Jul,27,6,4,Thursday,0,,0,FY2024
20230707,2023-07-07,2023,3,Q3-2023,7,July,Jul,27,7,5,Friday,0,,0,FY2024
20230708,2023-07-08,2023,3,Q3-2023,7,July,Jul,27,8,6,Saturday,1,,0,FY2024
20230709,2023-07-09,2023,3,Q3-2023,7,July,Jul,27,9,7,Sunday,1,,0,FY2024
20230710,2023-07-10,2023,3,Q3-2023,7,July,Jul,28,10,1,Monday,0,,0,FY2024
20230711,2023-07-11,2023,3,Q3-2023,7,July,Jul,28,11,2,Tuesday,0,,0,FY2024
20230712,2023-07-12,2023,3,Q3-2023,7,July,Jul,28,12,3,Wednesday,0,,0,FY2024
20230713,2023-07-13,2023,3,Q3-2023,7,July,Jul,28,13,4,Thursday,0,,0,FY2024
20230714,2023-07-14,2023,3,Q3-2023,7,July,Jul,28,14,5,Friday,0,,0,FY2024
20230715,2023-07-15,2023,3,Q3-2023,7,July,Jul,28,15,6,Saturday,1,,0,FY2024
20230716,2023-07-16,2023,3,Q3-2023,7,July,Jul,28,16,7,Sunday,1,,0,FY2024
20230717,2023-07-17,2023,3,Q3-2023,7,July,Jul,29,17,1,Monday,0,,0,FY2024
20230718,2023-07-18,2023,3,Q3-2023,7,July,Jul,29,18,2,Tuesday,0,,0,FY2024
20230719,2023-07-19,2023,3,Q3-2023,7,July,Jul,29,19,3,Wednesday,0,,0,FY2024
20230720,2023-07-20,2023,3,Q3-2023,7,July,Jul,29,20,4,Thursday,0,,0,FY2024
20230721,2023-07-21,2023,3,Q3-2023,7,July,Jul,29,21,5,Friday,0,,0,FY2024
20230722,2023-07-22,2023,3,Q3-2023,7,July,Jul,29,22,6,Saturday,1,,0,FY2024
20230723,2023-07-23,2023,3,Q3-2023,7,July,Jul,29,23,7,Sunday,1,,0,FY2024
20230724,2023-07-24,2023,3,Q3-2023,7,July,Jul,30,24,1,Monday,0,,0,FY2024
20230725,2023-07-25,2023,3,Q3-2023,7,July,Jul,30,25,2,Tuesday,0,,0,FY2024
20230726,2023-07-26,2023,3,Q3-2023,7,July,Jul,30,26,3,Wednesday,0,,0,FY2024
20230727,2023-07-27,2023,3,Q3-2023,7,July,Jul,30,27,4,Thursday,0,,0,FY2024
20230728,2023-07-28,2023,3,Q3-2023,7,July,Jul,30,28,5,Friday,0,,0,FY2024
20230729,2023-07-29,2023,3,Q3-2023,7,July,Jul,30,29,6,Saturday,1,,0,FY2024
20230730,2023-07-30,2023,3,Q3-2023,7,July,Jul,30,30,7,Sunday,1,,0,FY2024
20230731,2023-07-31,2023,3,Q3-2023,7,July,Jul,31,31,1,Monday,0,,0,FY2024
20230801,2023-08-01,2023,3,Q3-2023,8,August,Aug,31,1,2,Tuesday,0,,0,FY2024
20230802,2023-08-02,2023,3,Q3-2023,8,August,Aug,31,2,3,Wednesday,0,,0,FY2024
20230803,2023-08-03,2023,3,Q3-2023,8,August,Aug,31,3,4,Thursday,0,,0,FY2024
20230804,2023-08-04,2023,3,Q3-2023,8,August,Aug,31,4,5,Friday,0,,0,FY2024
20230805,2023-08-05,2023,3,Q3-2023,8,August,Aug,31,5,6,Saturday,1,,0,FY2024
20230806,2023-08-06,2023,3,Q3-2023,8,August,Aug,31,6,7,Sunday,1,,0,FY2024
20230807,2023-08-07,2023,3,Q3-2023,8,August,Aug,32,7,1,Monday,0,,0,FY2024
20230808,2023-08-08,2023,3,Q3-2023,8,August,Aug,32,8,2,Tuesday,0,,0,FY2024
20230809,2023-08-09,2023,3,Q3-2023,8,August,Aug,32,9,3,Wednesday,0,,0,FY2024
20230810,2023-08-10,2023,3,Q3-2023,8,August,Aug,32,10,4,Thursday,0,,0,FY2024
20230811,2023-08-11,2023,3,Q3-2023,8,August,Aug,32,11,5,Friday,0,,0,FY2024
20230812,2023-08-12,2023,3,Q3-2023,8,August,Aug,32,12,6,Saturday,1,,0,FY2024
20230813,2023-08-13,2023,3,Q3-2023,8,August,Aug,32,13,7,Sunday,1,,0,FY2024
20230814,2023-08-14,2023,3,Q3-2023,8,August,Aug,33,14,1,Monday,0,,0,FY2024
20230815,2023-08-15,2023,3,Q3-2023,8,August,Aug,33,15,2,Tuesday,0,,0,FY2024
20230816,2023-08-16,2023,3,Q3-2023,8,August,Aug,33,16,3,Wednesday,0,,0,FY2024
20230817,2023-08-17,2023,3,Q3-2023,8,August,Aug,33,17,4,Thursday,0,,0,FY2024
20230818,2023-08-18,2023,3,Q3-2023,8,August,Aug,33,18,5,Friday,0,,0,FY2024
20230819,2023-08-19,2023,3,Q3-2023,8,August,Aug,33,19,6,Saturday,1,,0,FY2024
20230820,2023-08-20,2023,3,Q3-2023,8,August,Aug,33,20,7,Sunday,1,,0,FY2024
20230821,2023-08-21,2023,3,Q3-2023,8,August,Aug,34,21,1,Monday,0,,0,FY2024
20230822,2023-08-22,2023,3,Q3-2023,8,August,Aug,34,22,2,Tuesday,0,,0,FY2024
20230823,2023-08-23,2023,3,Q3-2023,8,August,Aug,34,23,3,Wednesday,0,,0,FY2024
20230824,2023-08-24,2023,3,Q3-2023,8,August,Aug,34,24,4,Thursday,0,,0,FY2024
20230825,2023-08-25,2023,3,Q3-2023,8,August,Aug,34,25,5,Friday,0,,0,FY2024
20230826,2023-08-26,2023,3,Q3-2023,8,August,Aug,34,26,6,Saturday,1,,0,FY2024
20230827,2023-08-27,2023,3,Q3-2023,8,August,Aug,34,27,7,Sunday,1,,0,FY2024
20230828,2023-08-28,2023,3,Q3-2023,8,August,Aug,35,28,1,Monday,0,,0,FY2024
20230829,2023-08-29,2023,3,Q3-2023,8,August,Aug,35,29,2,Tuesday,0,,0,FY2024
20230830,2023-08-30,2023,3,Q3-2023,8,August,Aug,35,30,3,Wednesday,0,,0,FY2024
20230831,2023-08-31,2023,3,Q3-2023,8,August,Aug,35,31,4,Thursday,0,,0,FY2024
20230901,2023-09-01,2023,3,Q3-2023,9,September,Sep,35,1,5,Friday,0,,0,FY2024
20230902,2023-09-02,2023,3,Q3-2023,9,September,Sep,35,2,6,Saturday,1,,0,FY2024
20230903,2023-09-03,2023,3,Q3-2023,9,September,Sep,35,3,7,Sunday,1,,0,FY2024
20230904,2023-09-04,2023,3,Q3-2023,9,September,Sep,36,4,1,Monday,0,,0,FY2024
20230905,2023-09-05,2023,3,Q3-2023,9,September,Sep,36,5,2,Tuesday,0,,0,FY2024
20230906,2023-09-06,2023,3,Q3-2023,9,September,Sep,36,6,3,Wednesday,0,,0,FY2024
20230907,2023-09-07,2023,3,Q3-2023,9,September,Sep,36,7,4,Thursday,0,,0,FY2024
20230908,2023-09-08,2023,3,Q3-2023,9,September,Sep,36,8,5,Friday,0,,0,FY2024
20230909,2023-09-09,2023,3,Q3-2023,9,September,Sep,36,9,6,Saturday,1,,0,FY2024
20230910,2023-09-10,2023,3,Q3-2023,9,September,Sep,36,10,7,Sunday,1,,0,FY2024
20230911,2023-09-11,2023,3,Q3-2023,9,September,Sep,37,11,1,Monday,0,,0,FY2024
20230912,2023-09-12,2023,3,Q3-2023,9,September,Sep,37,12,2,Tuesday,0,,0,FY2024
20230913,2023-09-13,2023,3,Q3-2023,9,September,Sep,37,13,3,Wednesday,0,,0,FY2024
20230914,2023-09-14,2023,3,Q3-2023,9,September,Sep,37,14,4,Thursday,0,,0,FY2024
20230915,2023-09-15,2023,3,Q3-2023,9,September,Sep,37,15,5,Friday,0,,0,FY2024
20230916,2023-09-16,2023,3,Q3-2023,9,September,Sep,37,16,6,Saturday,1,,0,FY2024
20230917,2023-09-17,2023,3,Q3-2023,9,September,Sep,37,17,7,Sunday,1,,0,FY2024
20230918,2023-09-18,2023,3,Q3-2023,9,September,Sep,38,18,1,Monday,0,,0,FY2024
20230919,2023-09-19,2023,3,Q3-2023,9,September,Sep,38,19,2,Tuesday,0,,0,FY2024
20230920,2023-09-20,2023,3,Q3-2023,9,September,Sep,38,20,3,Wednesday,0,,0,FY2024
20230921,2023-09-21,2023,3,Q3-2023,9,September,Sep,38,21,4,Thursday,0,,0,FY2024
20230922,2023-09-22,2023,3,Q3-2023,9,September,Sep,38,22,5,Friday,0,,0,FY2024
20230923,2023-09-23,2023,3,Q3-2023,9,September,Sep,38,23,6,Saturday,1,,0,FY2024
20230924,2023-09-24,2023,3,Q3-2023,9,September,Sep,38,24,7,Sunday,1,,0,FY2024
